"","Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG.x","BB%","K%","BB/K","AVG.y","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace","date_acquired","player_id","W","L","ERA","GS","CG","ShO","SV","HLD","BS","IP","TBF","ER","WP","BK","K/9","BB/9","K/BB","HR/9","K-BB%","AVG","WHIP","LOB%","ERA-","FIP-","FIP","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BsR","Off","Def","WAR","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","F-Strike%","SwStr%","W.x","L.x","SV.x","GS.x","IP.x","GB%","HR/FB","ERA.x","xFIP","W.y","L.y","ERA.y","GS.y","SV.y","IP.y"
"272","2020","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.2%","23.4%",0.39,0.245,0.322,0.418,0.74,0.173,5.2,0.292,NA,NA,NA,NA,NA,0.32,NA,"27.1%","65.2%","46.0%","55.1%","83.8%","75.2%","49.5%",NA,2021-06-07,19734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","2021","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.9%","24.1%",0.37,0.237,0.312,0.396,0.708,0.159,5.1,0.288,NA,NA,NA,NA,NA,0.309,NA,"26.6%","65.8%","46.7%","54.6%","83.2%","75.2%","51.1%",NA,2021-06-07,19734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","2013","Padres (R)",NA,158,NA,44,35,7,2,NA,NA,NA,24,0,25,2,1,1,6,NA,4,0.278,"12.9%","13.4%",NA,0.278,0.378,0.348,NA,0.07,NA,0.328,NA,NA,NA,NA,NA,0.357,113,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,186,0,33,16,10,NA,NA,NA,NA,44,186,0,33,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","2014","Padres (A)",NA,421,NA,107,80,24,0,NA,NA,NA,34,1,87,1,0,2,6,NA,4,0.254,"7.4%","19.0%",NA,0.254,0.311,0.333,NA,0.078,NA,0.314,NA,NA,NA,NA,NA,0.301,87,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,458,3,49,39,8,NA,NA,NA,NA,116,458,3,49,39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","2015","Padres (R)",NA,11,NA,8,5,2,1,NA,NA,NA,0,0,1,0,0,0,0,NA,1,0.727,"0.0%","9.1%",NA,0.727,0.727,1.091,NA,0.364,NA,0.8,NA,NA,NA,NA,NA,0.838,416,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,0,3,0,0,NA,NA,NA,NA,3,11,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","2015","Padres (A)",NA,96,NA,24,20,4,0,NA,NA,NA,13,0,12,0,0,0,3,NA,1,0.25,"11.9%","11.0%",NA,0.25,0.339,0.292,NA,0.042,NA,0.286,NA,NA,NA,NA,NA,0.308,91,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,109,0,13,3,1,NA,NA,NA,NA,25,109,0,13,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","2016","Padres (A+)",NA,348,NA,93,58,21,2,NA,NA,NA,48,1,64,1,3,1,5,NA,2,0.267,"12.0%","16.0%",NA,0.267,0.355,0.443,NA,0.175,NA,0.295,NA,NA,NA,NA,NA,0.357,115,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,401,12,51,51,9,NA,NA,NA,NA,95,401,12,51,51,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","2016","Padres (AA)",NA,106,NA,21,17,2,0,NA,NA,NA,7,0,18,0,0,1,1,NA,2,0.198,"6.1%","15.8%",NA,0.198,0.248,0.274,NA,0.075,NA,0.221,NA,NA,NA,NA,NA,0.241,50,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,114,2,10,5,2,NA,NA,NA,NA,29,114,2,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","2017","Reds (AA)",NA,475,NA,121,86,29,1,NA,NA,NA,53,5,100,1,7,1,12,NA,3,0.255,"9.9%","18.6%",NA,0.255,0.326,0.352,NA,0.097,NA,0.308,NA,NA,NA,NA,NA,0.312,95,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,538,5,45,54,15,NA,NA,NA,NA,132,538,5,45,54,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","2018","Reds (AA)",NA,95,NA,27,16,10,0,NA,NA,NA,23,4,19,0,1,2,4,NA,2,0.284,"19.0%","15.7%",NA,0.284,0.42,0.421,NA,0.137,NA,0.342,NA,NA,NA,NA,NA,0.378,138,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,121,1,13,14,5,NA,NA,NA,NA,30,121,1,13,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","2018","Reds (AAA)",NA,332,NA,84,42,25,6,NA,NA,NA,28,1,73,0,2,0,7,NA,3,0.253,"7.7%","20.2%",NA,0.253,0.309,0.464,NA,0.211,NA,0.292,NA,NA,NA,NA,NA,0.339,114,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,362,11,40,45,5,NA,NA,NA,NA,98,362,11,40,45,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","2019","Reds (AAA)",NA,181,NA,63,34,14,1,NA,NA,NA,24,0,37,3,2,1,3,NA,3,0.348,"11.4%","17.5%",NA,0.348,0.429,0.669,NA,0.32,NA,0.371,NA,NA,NA,NA,NA,0.455,175,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,211,14,43,43,8,NA,NA,NA,NA,49,211,14,43,43,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","2019","Reds",NA,228,NA,54,32,13,1,NA,NA,NA,29,0,56,2,1,0,5,NA,3,0.237,"11.2%","21.5%",NA,0.237,0.327,0.408,NA,0.171,NA,0.279,NA,NA,NA,NA,NA,0.316,90,"25.0%","58.6%","39.7%","66.2%","86.1%","79.0%","43.6%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,260,8,33,23,9,-0.9,-4.2,-2,0.2,95,260,8,33,23,9,"57.7%","8.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","2020","2 Teams",NA,70,NA,9,4,3,0,NA,NA,NA,7,0,24,2,0,0,0,NA,0,0.129,"8.9%","30.4%",NA,0.129,0.228,0.257,NA,0.129,NA,0.159,NA,NA,NA,NA,NA,0.222,32,"30.3%","56.3%","40.9%","52.5%","85.5%","71.1%","40.9%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,79,2,9,6,1,1.2,-5.7,-2,-0.4,26,79,2,9,6,1,"58.2%","11.8%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","2020","Reds",NA,34,NA,2,0,1,0,NA,NA,NA,3,0,16,1,0,0,0,NA,0,0.059,"7.9%","42.1%",NA,0.059,0.158,0.176,NA,0.118,NA,0.059,NA,NA,NA,NA,NA,0.159,-10,"30.0%","59.7%","43.2%","40.7%","83.7%","67.1%","44.4%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,38,1,3,1,1,0.4,-5,-1.2,-0.4,14,38,1,3,1,1,"57.9%","14.2%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","2020","Diamondbacks",NA,36,NA,7,4,2,0,NA,NA,NA,4,0,8,1,0,0,0,NA,0,0.194,"9.8%","19.5%",NA,0.194,0.293,0.333,NA,0.139,NA,0.222,NA,NA,NA,NA,NA,0.281,71,"30.5%","52.4%","38.7%","62.5%","87.9%","75.4%","37.5%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,41,1,6,5,0,0.8,-0.7,-0.8,0,12,41,1,6,5,0,"58.5%","9.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","2021","THE BAT X",NA,108,NA,26,15,6,1,NA,NA,NA,11,0,27,1,1,0,2,NA,1,0.24,"9.1%","22.6%",NA,0.24,0.313,0.412,NA,0.172,NA,0.286,NA,NA,NA,NA,NA,0.313,92,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,120,4,15,13,3,NA,NA,NA,NA,28,120,4,15,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","2021","THE BAT",NA,107,NA,26,15,6,1,NA,NA,NA,11,0,27,1,1,0,2,NA,1,0.24,"9.1%","22.6%",NA,0.24,0.313,0.416,NA,0.176,NA,0.285,NA,NA,NA,NA,NA,0.314,93,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,120,4,15,14,3,NA,NA,NA,NA,28,120,4,15,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","2021","ATC",NA,109,NA,26,16,6,1,NA,NA,NA,11,0,28,1,0,0,1,NA,1,0.239,"9.1%","23.4%",NA,0.239,0.314,0.406,NA,0.167,NA,0.291,NA,NA,NA,NA,NA,0.312,92,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,122,4,15,13,3,NA,NA,NA,NA,32,122,4,15,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","2021","Depth Charts",NA,105,NA,25,15,6,1,NA,NA,NA,11,0,28,1,1,0,NA,NA,1,0.236,"9.5%","23.3%",NA,0.236,0.314,0.404,NA,0.168,NA,0.287,NA,NA,NA,NA,NA,0.306,85,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,119,3,14,13,3,0,-2.3,-1.5,0,28,119,3,14,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","2021","Steamer",NA,74,NA,18,11,4,1,NA,NA,NA,7,0,19,1,1,1,NA,NA,1,0.246,"8.9%","22.1%",NA,0.246,0.319,0.408,NA,0.162,NA,0.295,NA,NA,NA,NA,NA,0.31,88,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,84,2,10,9,2,0,-1.4,-0.9,0,20,84,2,10,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","2021","ZiPS",NA,398,NA,90,50,24,3,NA,NA,NA,45,1,110,4,2,1,9,NA,4,0.226,"10.0%","24.4%",NA,0.226,0.31,0.399,NA,0.173,NA,0.278,NA,NA,NA,NA,NA,0.303,83,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,450,13,53,52,10,0,-9.9,-7.5,-0.3,131,450,13,53,52,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","2021","Diamondbacks (AAA)",NA,30,NA,9,5,3,0,NA,NA,NA,13,0,12,0,0,0,0,NA,0,0.3,"30.2%","27.9%",NA,0.3,0.512,0.5,NA,0.2,NA,0.471,NA,NA,NA,NA,NA,0.455,167,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,43,1,10,4,1,NA,NA,NA,NA,9,43,1,10,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","2021","Diamondbacks",NA,69,NA,11,7,2,1,NA,NA,NA,11,0,23,1,1,0,1,NA,0,0.159,"13.4%","28.0%",NA,0.159,0.28,0.261,NA,0.101,NA,0.217,NA,NA,NA,NA,NA,0.252,57,"18.2%","62.2%","38.1%","58.3%","76.5%","71.7%","45.3%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,82,1,10,7,0,0.5,-3.8,-2.8,-0.4,37,82,1,10,7,0,"61.0%","10.8%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","2021","ZiPS (R)",NA,219,NA,48,27,12,2,NA,NA,NA,26,0,62,2,2,0,NA,NA,2,0.219,"10.4%","24.8%",NA,0.219,0.306,0.384,NA,0.165,NA,0.271,NA,NA,NA,NA,NA,0.303,90,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,250,7,29,28,5,0.1,-2.9,-2,0.3,77,250,7,29,28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","2021","Steamer (R)",NA,18,NA,4,3,1,0,NA,NA,NA,2,0,5,0,0,0,NA,NA,0,0.231,"9.6%","23.5%",NA,0.231,0.311,0.379,NA,0.148,NA,0.285,NA,NA,NA,NA,NA,0.304,91,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20,0,2,2,0,0,-0.2,-0.1,0,5,20,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","2021","Depth Charts (R)",NA,23,NA,5,3,1,0,NA,NA,NA,3,0,6,0,0,0,NA,NA,0,0.225,"10.0%","24.1%",NA,0.225,0.308,0.382,NA,0.157,NA,0.278,NA,NA,NA,NA,NA,0.303,91,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,26,1,3,3,0,0,-0.3,-0.3,0,6,26,1,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","2021","THE BAT (R)",NA,23,NA,5,3,1,0,NA,NA,NA,3,0,6,0,0,0,0,NA,0,0.232,"9.9%","24.4%",NA,0.232,0.311,0.397,NA,0.166,NA,0.285,NA,NA,NA,NA,NA,0.31,95,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,26,1,3,3,0,NA,NA,NA,NA,6,26,1,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","2021","THE BAT X (RoS)",NA,23,NA,5,3,1,0,NA,NA,NA,3,0,6,0,0,0,0,NA,0,0.232,"9.9%","24.4%",NA,0.232,0.312,0.397,NA,0.165,NA,0.286,NA,NA,NA,NA,NA,0.31,95,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,26,1,3,3,0,NA,NA,NA,NA,6,26,1,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Total","- - -",NA,367,NA,74,43,18,2,NA,NA,NA,47,0,103,5,2,0,6,NA,3,0.202,"11.2%","24.5%",NA,0.202,0.299,0.351,NA,0.15,NA,0.247,NA,NA,NA,NA,NA,0.286,73,"24.7%","59.0%","39.6%","61.8%","83.8%","76.0%","43.4%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,421,11,52,36,10,0.7,-13.7,-6.8,-0.6,158,421,11,52,36,10,"58.4%","9.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","2019","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.6%","68.5%","47.0%","62.7%","84.9%","76.2%","41.8%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.9%","11.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","2020","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.6%","67.8%","45.9%","61.4%","84.2%","75.3%","41.2%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59.9%","11.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","2021","Average",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.9%","68.1%","46.6%","61.7%","83.6%","75.3%","42.3%",NA,2021-06-07,15170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.1%","11.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","2011","Mariners (R)",62,220,252,57,47,5,3,2,44,22,26,0,35,2,1,3,5,16,6,0.259,"10.3%","13.9%",0.74,0.259,0.341,0.336,0.678,0.077,7.9,0.299,NA,NA,1,32,1.1,0.343,103,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","2012","Mariners (A-)",65,251,269,62,56,4,2,0,36,22,12,0,35,0,0,6,5,14,4,0.247,"4.5%","13.0%",0.34,0.247,0.281,0.279,0.56,0.032,7.1,0.287,NA,NA,1.1,19,-12.3,0.269,61,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","2012","Mariners (A)",4,14,17,4,4,0,0,0,3,2,2,0,3,0,0,1,0,1,0,0.286,"11.8%","17.6%",0.67,0.286,0.375,0.286,0.661,0,6.5,0.364,NA,NA,0.2,2,0,0.322,98,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","2013","Mariners (A)",98,378,406,115,95,15,5,0,61,29,15,0,39,1,3,9,9,16,8,0.304,"3.7%","9.6%",0.38,0.304,0.33,0.37,0.7,0.066,6.9,0.336,NA,NA,-0.4,47,-1.2,0.323,98,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","2013","Mariners (A+)",19,86,92,22,19,0,2,1,18,8,4,0,11,0,0,2,0,4,3,0.256,"4.3%","12.0%",0.36,0.256,0.289,0.337,0.626,0.081,7.7,0.284,NA,NA,-0.6,8,-4.5,0.281,64,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","2014","Mariners (AA)",109,443,472,134,99,27,6,2,63,46,19,1,65,1,5,4,6,23,10,0.302,"4.0%","13.8%",0.29,0.302,0.329,0.404,0.733,0.102,7.1,0.346,NA,NA,0.5,56,1.8,0.331,103,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","2014","Mariners (AAA)",19,80,90,25,18,5,0,2,16,9,8,0,13,0,2,0,1,6,0,0.313,"8.9%","14.4%",0.62,0.313,0.367,0.45,0.817,0.138,6.4,0.343,NA,NA,1.2,13,1.4,0.36,112,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","2015","Mariners (R)",1,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.667,"0.0%","0.0%",0,0.667,0.667,0.667,1.333,0,5,0.667,NA,NA,-0.4,1,0.7,0.637,292,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,13613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
