"","Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG.x","BB%","K%","BB/K","AVG.y","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace","date_acquired","player_id","W","L","ERA","GS","CG","ShO","SV","HLD","BS","IP","TBF","ER","WP","BK","K/9","BB/9","K/BB","HR/9","K-BB%","AVG","WHIP","LOB%","ERA-","FIP-","FIP","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BsR","Off","Def","WAR","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","F-Strike%","SwStr%","W.x","L.x","SV.x","GS.x","IP.x","GB%","HR/FB","ERA.x","xFIP","W.y","L.y","ERA.y","GS.y","SV.y","IP.y"
"2952","2019","Rays",145,567,654,155,99,33,2,21,77,68,81,4,123,5,1,0,22,25,4,0.273,"12.4%","18.8%",0.66,0.273,0.369,0.45,0.818,0.176,5,0.316,-0.1,-2.2,2.9,99,16.4,0.349,122,"16.3%","59.5%","38.4%","50.0%","89.1%","81.0%","51.0%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2953","2020","Padres",31,109,125,23,18,2,0,3,13,12,15,0,27,1,0,0,2,6,0,0.211,"12.0%","21.6%",0.56,0.211,0.312,0.312,0.624,0.101,5.1,0.253,0,0.2,1.1,12,-3.8,0.284,78,"16.9%","59.5%","38.2%","50.0%","82.3%","75.1%","49.9%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2954","2021","THE BAT X",134,514,596,137,90,25,3,19,82,69,71,2,133,7,3,1,13,17,5,0.267,"11.9%","22.4%",0.53,0.267,0.362,0.441,0.803,0.175,5.5,0.323,NA,NA,0.7,90,14.7,0.349,121,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2955","2021","THE BAT",134,514,596,136,88,24,3,20,83,69,72,2,133,7,3,1,13,18,5,0.264,"12.0%","22.4%",0.54,0.264,0.36,0.44,0.8,0.176,5.6,0.319,NA,NA,0.8,89,14,0.348,120,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2956","2021","ATC",128,478,551,127,85,22,2,18,73,63,65,1,118,6,2,0,13,21,5,0.266,"11.8%","21.4%",0.55,0.266,0.36,0.434,0.794,0.168,5.5,0.318,NA,NA,1.4,82,12.4,0.347,118,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2957","2021","Depth Charts",134,501,581,132,88,23,2,19,80,68,70,2,125,6,3,1,NA,20,6,0.264,"12.1%","21.5%",0.56,0.264,0.359,0.433,0.792,0.169,5.2,0.314,0.7,NA,1.2,83,9.7,0.339,111,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2958","2021","Steamer",131,496,580,134,88,24,2,21,83,70,71,2,124,6,4,3,NA,16,6,0.27,"12.3%","21.4%",0.57,0.27,0.365,0.45,0.816,0.18,4.8,0.319,0.8,NA,0.4,87,13.9,0.348,117,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2959","2021","ZiPS",126,461,531,119,80,21,2,16,71,60,63,2,115,5,2,0,16,22,5,0.258,"11.9%","21.7%",0.55,0.258,0.352,0.416,0.769,0.158,5.7,0.31,NA,NA,1.9,72,4.9,0.331,105,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2960","2021","Padres",57,166,204,37,28,3,2,4,21,18,34,0,42,2,2,0,5,8,2,0.223,"16.7%","20.6%",0.81,0.223,0.358,0.337,0.695,0.114,6,0.27,0.9,-0.4,0.5,25,1.3,0.318,104,"14.2%","61.2%","38.0%","32.8%","86.1%","76.2%","50.5%",NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2961","2021","ZiPS (R)",82,285,333,71,49,11,2,9,42,36,43,1,71,3,2,0,NA,14,3,0.251,"12.9%","21.4%",0.6,0.251,0.353,0.4,0.753,0.149,5.8,0.301,0.1,NA,1.1,45,6.3,0.333,114,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
