"","Season","Team","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%","K%","ISO","BABIP","AVG.x","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","G.y","AB","PA.y","H","1B","2B","3B","HR.y","R.y","RBI.y","BB","IBB","SO","HBP","SF","SH","GDP","SB.y","CS","AVG.y","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","date_acquired","player_id","G","PA","HR","R","RBI","SB","BB/K","OPS","Spd","UBR","wGDP","wSB","wRC","wRAA","Pace","W.x","L.x","SV.x","GS.x","IP.x","K/9","BB/9","HR/9","LOB%","GB%","HR/FB","ERA.x","FIP","xFIP","W.y","L.y","ERA.y","GS.y","CG","ShO","SV.y","HLD","BS","IP.y","TBF","ER","WP","BK"
"907","2013","Nationals (AAA)",NA,NA,NA,NA,NA,NA,"14.3%","21.4%",0.091,0.25,0.182,0.357,0.273,0.315,92,NA,NA,NA,NA,NA,11,NA,2,1,1,0,NA,NA,NA,2,0,3,1,0,0,0,NA,0,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,3,14,0,2,0,0,0.67,0.63,2.6,NA,NA,0,1,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908","2013","Nationals",NA,NA,NA,NA,NA,NA,"7.9%","17.5%",0.131,0.307,0.265,0.329,0.396,0.318,100,NA,NA,NA,NA,NA,351,NA,93,62,23,1,NA,NA,NA,31,3,69,5,5,2,7,NA,1,0.265,"18.1%","55.9%","39.7%","61.8%","94.5%","88.1%","57.1%",NA,NA,2021-06-08,12861,98,394,7,40,35,1,0.45,0.725,2.4,1.3,0.1,-0.5,44,1.2,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909","2014","Nationals",NA,NA,NA,NA,NA,NA,"8.5%","15.2%",0.186,0.314,0.287,0.351,0.473,0.361,130,NA,NA,NA,NA,NA,613,NA,176,110,39,6,NA,NA,NA,58,2,104,5,5,2,11,NA,3,0.287,"20.2%","57.9%","40.7%","68.0%","92.7%","87.1%","54.3%",NA,NA,2021-06-08,12861,153,683,21,111,83,17,0.56,0.824,6.4,5.2,0,1.6,100,26.6,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","2015","Nationals (A+)",NA,NA,NA,NA,NA,NA,"15.0%","10.0%",0.118,0.533,0.471,0.55,0.588,0.523,237,NA,NA,NA,NA,NA,17,NA,8,6,2,0,NA,NA,NA,3,0,2,0,0,0,1,NA,0,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,6,20,0,2,1,0,1.5,1.138,0.7,NA,NA,0,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","2015","Nationals (AA)",NA,NA,NA,NA,NA,NA,"11.1%","14.8%",0.125,0.3,0.25,0.333,0.375,0.328,107,NA,NA,NA,NA,NA,24,NA,6,3,3,0,NA,NA,NA,3,0,4,0,0,0,0,NA,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,8,27,0,1,0,0,0.75,0.708,0.2,NA,NA,0,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912","2015","Nationals",NA,NA,NA,NA,NA,NA,"10.1%","19.7%",0.1,0.321,0.264,0.344,0.363,0.315,97,NA,NA,NA,NA,NA,311,NA,82,61,16,0,NA,NA,NA,36,0,70,4,4,0,8,NA,2,0.264,"15.8%","54.5%","37.2%","72.7%","88.9%","85.8%","55.3%",NA,NA,2021-06-08,12861,80,355,5,43,25,1,0.51,0.707,2.1,-2.5,-0.7,-0.8,40,0.5,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913","2016","Nationals",NA,NA,NA,NA,NA,NA,"10.0%","18.1%",0.18,0.304,0.27,0.348,0.45,0.342,110,NA,NA,NA,NA,NA,567,NA,153,93,38,2,NA,NA,NA,65,2,117,7,8,0,5,NA,6,0.27,"20.9%","60.4%","42.7%","74.6%","87.7%","84.9%","55.1%",NA,NA,2021-06-08,12861,156,647,20,91,85,12,0.56,0.797,4.6,2.1,1.5,-0.4,89,13,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914","2017","Nationals",NA,NA,NA,NA,NA,NA,"13.9%","13.6%",0.232,0.314,0.301,0.403,0.533,0.394,141,NA,NA,NA,NA,NA,508,NA,153,86,41,1,NA,NA,NA,84,6,82,7,6,0,7,NA,2,0.301,"17.0%","61.6%","40.2%","69.0%","91.7%","87.1%","52.1%",NA,NA,2021-06-08,12861,147,605,25,81,100,7,1.02,0.937,3.5,0.2,1.2,0.1,111,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915","2018","Nationals (A+)",NA,NA,NA,NA,NA,NA,"0.0%","0.0%",0.25,0.625,0.625,0.667,0.875,0.69,338,NA,NA,NA,NA,NA,8,NA,5,3,2,0,NA,NA,NA,0,0,0,1,0,0,0,NA,0,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,2,9,0,3,1,0,0,1.542,2.6,NA,NA,0,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916","2018","Nationals",NA,NA,NA,NA,NA,NA,"9.2%","13.7%",0.227,0.323,0.308,0.374,0.535,0.383,140,NA,NA,NA,NA,NA,529,NA,163,93,44,2,NA,NA,NA,55,5,82,5,8,0,5,NA,1,0.308,"21.9%","68.6%","47.8%","72.1%","91.7%","87.7%","55.4%",NA,NA,2021-06-08,12861,136,597,24,88,92,2,0.67,0.909,3.2,3.7,1.8,-0.4,103,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917","2019","Nationals",NA,NA,NA,NA,NA,NA,"12.4%","13.3%",0.279,0.323,0.319,0.412,0.598,0.413,154,NA,NA,NA,NA,NA,545,NA,174,93,44,3,NA,NA,NA,80,8,86,12,9,0,13,NA,1,0.319,"20.2%","66.5%","43.1%","73.4%","93.2%","88.5%","49.5%",NA,NA,2021-06-08,12861,146,646,34,117,126,5,0.93,1.01,4.4,0.9,-0.7,0.2,133,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918","2020","Angels",NA,NA,NA,NA,NA,NA,"16.4%","13.4%",0.212,0.302,0.286,0.418,0.497,0.395,154,NA,NA,NA,NA,NA,189,NA,54,33,11,1,NA,NA,NA,38,2,31,5,0,0,10,NA,0,0.286,"16.0%","64.2%","40.5%","61.4%","92.8%","86.7%","50.8%",NA,NA,2021-06-08,12861,52,232,9,29,31,0,1.23,0.915,2,1.1,-0.9,-0.2,44,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919","2021","THE BAT X",NA,NA,NA,NA,NA,NA,"12.5%","14.7%",0.233,0.292,0.284,0.38,0.516,0.379,143,NA,NA,NA,NA,NA,563,NA,160,93,33,3,NA,NA,NA,82,6,97,9,6,1,11,NA,1,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,154,661,31,94,93,2,0.85,0.896,3.2,NA,NA,-0.5,116,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920","2021","THE BAT",NA,NA,NA,NA,NA,NA,"12.5%","14.7%",0.233,0.293,0.284,0.38,0.517,0.38,143,NA,NA,NA,NA,NA,564,NA,160,92,35,2,NA,NA,NA,83,6,98,9,6,1,11,NA,1,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,154,662,31,94,93,2,0.85,0.898,2.9,NA,NA,-0.5,117,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","2021","ATC",NA,NA,NA,NA,NA,NA,"12.5%","14.1%",0.226,0.302,0.291,0.387,0.517,0.382,145,NA,NA,NA,NA,NA,532,NA,155,91,35,2,NA,NA,NA,78,9,88,9,6,0,17,NA,1,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,144,625,27,91,98,2,0.89,0.904,3,NA,NA,-0.4,111,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"922","2021","Depth Charts",NA,NA,NA,NA,NA,NA,"12.7%","14.9%",0.221,0.294,0.281,0.381,0.502,0.37,133,NA,NA,NA,NA,NA,564,NA,158,92,36,2,NA,NA,NA,85,6,99,10,6,1,NA,NA,1,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,154,665,28,92,101,3,0.86,0.884,3.2,0.7,NA,-0.3,112,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923","2021","Steamer",NA,NA,NA,NA,NA,NA,"13.1%","14.8%",0.216,0.296,0.28,0.383,0.497,0.369,132,NA,NA,NA,NA,NA,555,NA,156,91,36,2,NA,NA,NA,86,6,97,9,5,1,NA,NA,1,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,150,656,27,92,96,3,0.88,0.88,3.2,0.9,NA,-0.4,110,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924","2021","ZiPS",NA,NA,NA,NA,NA,NA,"12.4%","14.9%",0.226,0.293,0.281,0.38,0.508,0.37,133,NA,NA,NA,NA,NA,508,NA,143,82,33,2,NA,NA,NA,74,6,89,10,6,0,12,NA,1,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,137,598,26,81,94,3,0.83,0.887,3.2,NA,NA,-0.2,101,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925","2021","Angels",NA,NA,NA,NA,NA,NA,"9.1%","15.2%",0.108,0.264,0.236,0.309,0.345,0.292,87,NA,NA,NA,NA,NA,148,NA,35,25,7,0,NA,NA,NA,15,0,25,1,1,0,8,NA,0,0.236,"19.0%","75.4%","48.7%","70.2%","88.8%","85.4%","52.6%",NA,NA,2021-06-08,12861,39,165,3,16,23,0,0.6,0.654,1.2,0.1,-0.6,-0.2,17,-2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926","2021","ZiPS (R)",NA,NA,NA,NA,NA,NA,"11.9%","15.0%",0.206,0.29,0.274,0.369,0.479,0.366,137,NA,NA,NA,NA,NA,305,NA,84,50,19,1,NA,NA,NA,42,3,53,5,2,0,NA,NA,0,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,82,355,14,46,55,1,0.79,0.848,3.1,-0.1,NA,-0.3,58,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927","2021","Steamer (R)",NA,NA,NA,NA,NA,NA,"12.5%","15.1%",0.192,0.286,0.268,0.368,0.46,0.359,132,NA,NA,NA,NA,NA,356,NA,95,58,22,1,NA,NA,NA,52,3,63,6,3,1,NA,NA,1,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,95,417,15,54,56,1,0.83,0.828,2.7,0.6,NA,-0.4,66,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"928","2021","Depth Charts (R)",NA,NA,NA,NA,NA,NA,"12.2%","15.0%",0.199,0.288,0.271,0.368,0.47,0.362,135,NA,NA,NA,NA,NA,351,NA,95,57,22,1,NA,NA,NA,50,3,62,6,3,0,NA,NA,1,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,98,410,15,53,59,1,0.81,0.838,3,0.4,NA,-0.3,66,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","2021","THE BAT (R)",NA,NA,NA,NA,NA,NA,"11.6%","15.0%",0.219,0.289,0.278,0.368,0.497,0.371,141,NA,NA,NA,NA,NA,354,NA,98,58,22,1,NA,NA,NA,48,3,62,5,4,0,7,NA,0,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,96,411,18,57,55,1,0.77,0.865,3,NA,NA,-0.3,69,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930","2021","THE BAT X (RoS)",NA,NA,NA,NA,NA,NA,"11.5%","14.8%",0.226,0.286,0.278,0.368,0.504,0.374,142,NA,NA,NA,NA,NA,354,NA,98,58,20,1,NA,NA,NA,47,3,61,5,4,0,6,NA,0,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,96,410,19,57,56,1,0.78,0.873,2.9,NA,NA,-0.4,69,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931","Total","- - -",NA,NA,NA,NA,NA,NA,"10.7%","15.4%",0.196,0.312,0.288,0.369,0.484,0.365,128,NA,NA,NA,NA,NA,3761,NA,1083,656,263,16,NA,NA,NA,462,28,666,51,46,4,74,NA,16,0.288,"19.2%","61.9%","42.1%","70.3%","91.4%","86.9%","53.6%",NA,NA,2021-06-08,12861,1007,4324,148,616,600,45,0.69,0.854,4,12.1,1.7,-0.6,682,176,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932","Postseason","- - -",NA,NA,NA,NA,NA,NA,"13.0%","13.8%",0.197,0.292,0.282,0.37,0.479,0.352,116,NA,NA,NA,NA,NA,117,NA,33,20,8,0,NA,NA,NA,18,3,19,0,3,0,0,NA,0,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,12861,31,138,5,16,21,1,0.95,0.848,2.7,NA,NA,0.1,21,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","2013","Average",NA,NA,NA,NA,NA,NA,"7.9%","19.9%",0.143,0.297,NA,0.318,0.396,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253,"26.9%","63.2%","45.9%","61.3%","86.4%","79.4%","52.3%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.4,0.714,4.9,NA,NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","2014","Average",NA,NA,NA,NA,NA,NA,"7.6%","20.4%",0.135,0.299,NA,0.314,0.386,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251,"28.0%","63.2%","46.2%","61.0%","86.9%","79.3%","51.6%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.37,0.7,5,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935","2015","Average",NA,NA,NA,NA,NA,NA,"7.7%","20.4%",0.15,0.299,NA,0.317,0.405,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,"28.6%","64.3%","46.9%","60.6%","86.5%","78.8%","51.3%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.38,0.721,4.8,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936","2016","Average",NA,NA,NA,NA,NA,NA,"8.2%","21.1%",0.162,0.3,NA,0.322,0.417,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255,"28.2%","63.9%","46.5%","59.6%","85.9%","78.1%","51.3%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.39,0.739,4.9,NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937","2017","Average",NA,NA,NA,NA,NA,NA,"8.5%","21.6%",0.171,0.3,NA,0.324,0.426,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255,"26.3%","65.5%","46.5%","58.6%","84.6%","77.5%","51.3%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.39,0.75,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"938","2018","Average",NA,NA,NA,NA,NA,NA,"8.5%","22.3%",0.161,0.296,NA,0.318,0.409,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,"26.9%","65.3%","46.6%","57.0%","84.7%","76.9%","51.2%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.38,0.728,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","2019","Average",NA,NA,NA,NA,NA,NA,"8.5%","23.0%",0.183,0.298,NA,0.323,0.435,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252,"28.7%","65.7%","47.0%","57.3%","84.6%","76.2%","49.5%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.37,0.758,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"940","2020","Average",NA,NA,NA,NA,NA,NA,"9.2%","23.4%",0.173,0.292,NA,0.322,0.418,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,"27.1%","65.2%","46.0%","55.1%","83.8%","75.2%","49.5%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.39,0.74,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941","2021","Average",NA,NA,NA,NA,NA,NA,"8.9%","24.1%",0.159,0.289,NA,0.312,0.396,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237,"26.6%","65.8%","46.6%","54.6%","83.2%","75.2%","51.1%",NA,NA,2021-06-08,12861,NA,NA,NA,NA,NA,NA,0.37,0.708,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"942","2015","Angels (R)",37,180,0,28,30,11,"8.9%","5.0%",0.125,0.346,0.331,0.391,0.456,0.384,120,NA,NA,NA,NA,37,160,180,53,37,12,4,0,28,30,16,0,9,1,2,1,4,11,4,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"943","2015","Angels (A)",32,135,1,18,10,6,"8.9%","9.6%",0.075,0.311,0.283,0.358,0.358,0.341,114,NA,NA,NA,NA,32,120,135,34,28,4,1,1,18,10,12,0,13,2,0,1,2,6,1,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"944","2016","Angels (A+)",78,355,3,42,31,15,"6.2%","12.1%",0.071,0.307,0.275,0.321,0.346,0.305,83,NA,NA,NA,NA,78,324,355,89,73,12,1,3,42,31,22,0,43,1,2,6,10,15,3,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"945","2016","Angels (AA)",20,83,0,10,6,1,"3.6%","15.7%",0.075,0.358,0.3,0.325,0.375,0.316,101,NA,NA,NA,NA,20,80,83,24,18,6,0,0,10,6,3,0,13,0,0,0,2,1,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","2017","Angels (AA)",64,272,1,32,22,12,"7.7%","11.0%",0.078,0.308,0.276,0.341,0.354,0.323,103,NA,NA,NA,NA,64,243,272,67,51,14,1,1,32,22,21,1,30,4,2,2,8,12,5,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"947","2017","Angels (AAA)",47,217,2,27,17,8,"2.8%","11.5%",0.068,0.281,0.254,0.285,0.322,0.273,56,NA,NA,NA,NA,47,205,217,52,43,6,1,2,27,17,6,0,25,3,0,3,2,8,1,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"948","2018","Angels (AAA)",58,275,6,55,37,7,"5.8%","7.6%",0.209,0.364,0.35,0.394,0.559,0.414,149,NA,NA,NA,NA,58,254,275,89,53,25,5,6,55,37,16,0,21,3,1,1,8,7,2,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","2018","Angels",80,307,1,35,25,3,"4.9%","11.1%",0.088,0.307,0.275,0.316,0.363,0.297,86,2,-3,10.8,1.8,80,284,307,78,57,18,2,1,35,25,15,0,34,3,2,3,7,3,0,0.275,"28.3%","53.7%","40.2%","83.6%","95.6%","91.1%","46.7%","62.2%","3.6%",2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"950","2019","Angels",154,653,6,83,49,8,"8.4%","9.8%",0.094,0.317,0.29,0.35,0.384,0.318,98,-0.8,-2.9,13.6,3.3,154,596,653,173,133,30,4,6,83,49,55,2,64,0,1,1,8,8,3,0.29,"25.3%","48.7%","36.2%","82.6%","96.1%","91.1%","46.5%","55.6%","3.2%",2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"951","2020","Angels",49,230,3,31,18,2,"8.7%","10.9%",0.106,0.348,0.319,0.376,0.425,0.35,123,-0.7,5.9,1.9,1.5,49,207,230,66,50,13,0,3,31,18,20,0,25,0,2,1,4,2,1,0.319,"27.0%","49.3%","37.1%","85.8%","96.0%","92.0%","45.3%","58.3%","3.0%",2021-06-08,17992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
